reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
d505016e-3b37-4ba2-97cf-16c9ef54f84c,David Webster,https://play-lh.googleusercontent.com/a-/ACB-R5Q4oeVve1x5Ig3hvjnwMoO4JnQncNG4f4fcgcn56A,Found great bar jobs on here in the past but new updates a plagued with phishing spams job listings and doesn't allow to upload new resumes. Sad to see the state of this app,1,0,3.2.11,2023-02-08 19:41:20,,
eae5efd4-26eb-469d-b793-f9689510ebbf,Joshua Espinoza,https://play-lh.googleusercontent.com/a/AGNmyxYMOSDWCnP1ratxi_rWnhaHe7MeL__nO1Iy-ZCQ=mo,Try to upload resume and it just stays uploading!,2,0,3.2.6,2022-09-26 04:18:21,,
c7156674-d0bf-497e-924e-07802e9cda9d,Robert Basom,https://play-lh.googleusercontent.com/a-/ACB-R5SJuylT6tnBzfDet5Z62s0u1cQPO9PNywBsrkk98uA,"This is one of the worst apps I've ever used,will never apply to any job that uses this app again.",1,0,,2022-07-20 08:11:02,,
520a4e2f-d352-4fe4-a63b-ceea058663bf,Daniel DLS,https://play-lh.googleusercontent.com/a-/ACB-R5Q3WDRHIKS3SkyyFR5ywAYPU3uznSwah22w-0M-Mg,"If I cant upload a resume because for whatever reason it stays stuck on the loading screen after pressing upload, then this app is not to be trusted im trying to get a job here and I cant complete an application for that reason. Im tired of these platforms being the standard of getting a job.",1,1,3.2.5,2022-06-27 23:48:52,,
254d1260-7a30-4ae1-8c68-53f597c3c84c,Morris Kagunya,https://play-lh.googleusercontent.com/a-/ACB-R5QaehPBi52OpgVc6uM3Mn9Il6W8GB1QWCmz-pGZbA,It's not logging in,1,0,3.2.3,2022-05-16 22:59:26,,
b0fad2f1-e43b-42a2-8271-4ceb396bbd55,AnnaLiza Coelho,https://play-lh.googleusercontent.com/a-/ACB-R5TrtO3jZpMZLT5SCK4Z4WuWbKwhlXnL9jVQumVX0Q,Helpful!,5,0,3.2.2,2022-04-09 20:07:46,,
098e9eef-cd64-41d4-b9e4-a46fc1356dda,Kadar Harris,https://play-lh.googleusercontent.com/a/AGNmyxbcy1nQP1KlVb_65MFmga2l7Ndi0PAbbwvFs4Cx=mo,Great,4,0,3.0.1,2022-03-25 23:27:33,,
63d80814-41e2-4b54-8f52-c05f7ca7847f,Emphrizes,https://play-lh.googleusercontent.com/a-/ACB-R5T8Me8OI0xvxyA7fhysARAFi0b87PKvtNogvZLRHw,app doesnt even work,1,0,3.2.2,2022-02-15 03:31:22,,
3746bae6-19a1-4004-b9fa-80e7313397e2,Kyle Joseph,https://play-lh.googleusercontent.com/a/AGNmyxZx5Q2DR5AUtr8EaQMxFiVE42gvavBGJLaBfyug=mo,I can't even sign up for the app.,1,0,3.2.2,2022-02-08 02:56:24,,
b50f0ed9-68ed-4aef-94d4-438d08ae3d60,Mr U,https://play-lh.googleusercontent.com/a-/ACB-R5Q9zid-UKENrck6YQZUERzOk9zMQvhgnYV1TT2sGQ,Totally worst app use less,1,0,,2022-02-07 18:04:06,,
