reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
681fce99-4578-413c-817b-fb45657b705a,Latrice Bell,https://play-lh.googleusercontent.com/a/AGNmyxZYeQYyKJgeBMDBKtHU9_be-IOt7bAW_3sdoY-w=mo,Beautiful,5,0,7.0.5,2023-02-21 16:58:05,,
97e39b7e-96e1-4abe-ab51-ba02f7983ef4,Chris R,https://play-lh.googleusercontent.com/a/AGNmyxbRJSYPjkLMNyNjupxEOPzjMZJu-6TbAa9SGMrQ=mo,They make it nearly impossible to upload a new resume. A google search gets you literally nowhere. Not worth the time. I should've listened to the other reviews.,1,0,7.0.5,2023-02-14 10:45:45,,
a4a788d1-b2fd-4d3c-835a-dd86adb5b45a,Charles Williams,https://play-lh.googleusercontent.com/a-/ACB-R5Sp3fCHhpPmD2b5h5Gti7xA5b6xFHLQt4xlSnBnHw,Great Sources,5,0,7.0.5,2023-02-08 06:05:01,,
7f102f6c-7e53-489c-bb15-a76f4f228219,Andrew Bridgemahon,https://play-lh.googleusercontent.com/a/AGNmyxbTXPh5d6kgOEvySF_VLO7fg0nGAzzESA3OXLne=mo,It's an okay app but you'll be waiting for a job forever,3,0,7.0.5,2023-02-01 19:13:43,,
566aba1c-908e-4a61-aaa3-f4e772be1813,Queen Kyira,https://play-lh.googleusercontent.com/a/AGNmyxYBLcsgZZvrJXaZMaMRcUyPYKO8nl9Fltbjq-j5=mo,Terrible it won't even search the right location smh,1,0,7.0.5,2023-01-29 10:59:31,,
098a8297-eae5-429b-b194-25c2b18e8b03,Kyle Brown,https://play-lh.googleusercontent.com/a/AGNmyxZjUvycj9V5xftL8VBz7s5EDWBSp9Ahlh4q-ABN=mo,I love it,5,0,7.0.5,2023-01-28 06:34:52,,
22befb69-e9e2-4a47-b377-3b0236631d68,Jay Rasheed,https://play-lh.googleusercontent.com/a/AGNmyxYD3epBBpmzUNkIV1VwYa7WdNGS6IlYQwinxSwY=mo,Outdated as of 2023 useless,1,1,7.0.5,2023-01-24 11:23:42,,
0d6aceaa-119c-415f-8173-7844efc5c1d6,Moni Lopez,https://play-lh.googleusercontent.com/a/AGNmyxbICIBoRYtW2qy9LdWqNHF5IsJJ7AeOSb1L7mh1=mo,Good,5,0,7.0.5,2023-01-24 04:23:57,,
8a85a4a0-5254-478c-9305-664839900b1a,CHRISTOPHER,https://play-lh.googleusercontent.com/a-/ACB-R5SicxxYjVyjy7W3oPU7_W_CXduWG0gn-tqp8P_7WQ,"Helped me get a job when it seemed I could not get one, thank you SnagAJob.",5,0,,2023-01-23 19:05:22,,
67d53a98-5f88-42cb-9496-da211878c51d,ese Sincere,https://play-lh.googleusercontent.com/a/AGNmyxZaZd4kQsFTlV2nicTbMQrkphLPJAGUC2gG-P7a=mo,Great for community recommend,5,0,,2023-01-20 06:43:45,,
