reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
fb6804cf-720e-4059-8e12-2e4346722fac,Tyreke Thompson,https://play-lh.googleusercontent.com/a/AGNmyxZov_cR6tRXdmt-PeXQGn-8f3i7JAI1ii1LBtci=mo,Best app ever,5,0,5.65.0,2023-02-25 14:39:00,,
bd5303f6-d948-489e-bc44-dbc6804dc485,James Rowland,https://play-lh.googleusercontent.com/a-/ACB-R5TpBoO8RJaT6aPvAw33DjjGZ6ySlh7Wv1Wl2t26,"Couldnt applie for ajob tiapp sblank,!",1,0,5.65.0,2023-02-25 01:27:53,,
3dec3d4a-0148-475f-940d-ae36efa6ed37,Amber Whitley,https://play-lh.googleusercontent.com/a/AGNmyxYYSg2foPakHLOLaSHDaURbwxC34Y_dwAY373iN=mo,I was trying to refer someone but it's making me create an account.i don't need the app,1,0,5.65.0,2023-02-24 18:35:00,,
7a517e30-6396-4cd7-9e7f-1f6bcbcff449,Cici Ramsey,https://play-lh.googleusercontent.com/a/AGNmyxbb5wtO9rbfI0-ExG1ootR9P9I4acVxM1kMoHdN=mo,Seems like an easy way to find employment.,5,0,,2023-02-24 14:36:27,,
b3b07920-ee4f-4793-89fb-09296b55cc3d,starasia asia,https://play-lh.googleusercontent.com/a/AGNmyxZpTzsfRqipNu5n4YjjNdrvIImyNFlGSm8h3v8T=mo,"I have downloaded n tested alot of job search apps, and I gotta say Jobget is definitely at the top of the list. It's NOT FAKE jobs or scams! The list is Real Jobs that are hiring.",5,0,5.63.0,2023-02-24 13:28:01,,
42bc6519-810f-4cbd-b490-674ba5504f30,Antonelli Pena,https://play-lh.googleusercontent.com/a/AGNmyxYobhMqKGuwTiD6VC8h0ui0Jg8R20s_PuJqxbUc=mo,it's a good app you get the tips of gobs you need download the app,5,0,5.65.0,2023-02-24 11:50:16,,
8557f928-6394-4bc8-99da-579369428572,Briana Gilbert,https://play-lh.googleusercontent.com/a/AGNmyxbkkyZQnOC7qOWxiYktnZsqRFdwRu9uGGBOzJK4=mo,"""JobGet"" is awesome!!! The same day I downloaded the app, I received feedback from 4 jobs regarding coming in for an interview. They also have any job you can imagine near you to apply to. Thank you ""JobGet"" for the job opportunities!!!",5,0,5.65.0,2023-02-24 05:26:11,,
71f2da00-1758-4958-9b05-e99185bc22a9,Raeann Chappell,https://play-lh.googleusercontent.com/a/AGNmyxZKPsNTMgWSUnlyrW_tNqhkKw5vlz7chufGVFu3=mo,I've been trying to find an app to help with finding a job and by far this is 100% the best app I have found to use. I'm actually getting progress on my applications and getting closer and closer to finding a job.,5,0,5.63.0,2023-02-24 02:58:38,"Hi,
Thank you for your comment. Is there something else that we could do to deserve a better rating from you? Let us know at help@jobget.com.",2023-02-24 02:42:18
c46b0a76-d77a-4680-9aaf-4de82b8ef1f1,Octavius Godfrey,https://play-lh.googleusercontent.com/a-/ACB-R5Sx-uFUL8gid070o2nwvks-0GYsEvykOKy-GskU,Doesn't provide zip code area for more accurate job search.,1,0,,2023-02-23 05:46:28,We apologize for the inconvenience. Can you be more specific please so that we can identify the issue? Don't hesitate to reach out to us at support@jobget.com.,2023-02-24 02:42:10
5cabcc6b-62fc-4abe-8d15-2a8f924c611a,Donavin Heine,https://play-lh.googleusercontent.com/a/AGNmyxa6V8DvpwLEctVb-MYAKeSgwO_5cMazFiiNkW6t=mo,"Pretty okay overall, I was unable to do the chime sign up because of an error with the camera accessibility.",3,0,5.63.0,2023-02-22 12:24:15,"Oh no! We sincerely apologize for the troubles you've had with the app. We'd be happy to take a look into this for you, please contact us at support@jobget.com. Thank you.",2023-02-23 01:10:58
